CPU Name,Value
AMD Ryzen 9 7945HX,34939
Intel Core i9-13980HX,31343
Intel Core i9-13950HX,30000
Intel Core i9-13900HX,27225
AMD Ryzen 9 7845HX,24720
Intel Core i7-13850HX,24702
Intel Core i9-12950HX,21007
Intel Core i7-13700HX,20930
Intel Core i5-13600HX,20408
Intel Core i7-13650HX,19823
Intel Core i7-12800HX,19686
Intel Core i9-12900HX,19659
Intel Core i9-13900H,19204
Intel Core i7-12850HX,19174
AMD Ryzen 7 7745HX,18606
Intel Core i9-13905H,18188
AMD Ryzen 9 7940HS,17509
Intel Core i5-13500HX,17489
AMD Ryzen 7 7840HS,17272
Intel Core i7-13700H,17231
Intel Core i9-12900HK,17166
Intel Core i9-12900H,16894
Intel Core i5-13500H,15585
Intel Core i5-13450HX,15583
Intel Core i7-12700H,15486
Intel Core i7-12800H,15411
Intel Core i5-13600H,15091
Intel Core i7-13620H,14917
AMD Ryzen Z1 Extreme,14809
Apple M2 Max,14766
Apple M2 Pro (12-core CPU),14765
AMD  Ryzen 9 6900HS,14300
AMD Ryzen 7 6800H,14193
AMD Ryzen 9 6900HX,14111
AMD Ryzen 7 7735HS,14003
Intel Core i9-11980HK,13970
Intel Core i5-12600H,13730
AMD Ryzen 7 6800HS,13514
AMD Ryzen 9 5980HX,13450
AMD Ryzen 9 5900HS,13179
Intel Core i7-12650H,13152
AMD Ryzen 9 5900HX,13081
Intel Core i7-1280P,13075
AMD Ryzen 7 PRO 6850H,12998
AMD Ryzen 5 7640HS,12959
AMD Ryzen 9 5980HS,12629
AMD Ryzen 7 5800H,12472
AMD Ryzen 7 7735U,12467
Intel Core i5-13420H,12434
Intel Core i7-11800H,12390
Apple M1 Max,12381
Apple M1 Pro (10-core),12370
Intel Core i7-1360P,12205
AMD Ryzen 7 7840U,12173
Intel Core i5-12500H,12159
Intel Core i9-11900H,12128
Intel Core i7-11850H,12116
Intel Core i9-11950H,12085
AMD Ryzen 7 5800HS,12066
AMD Ryzen 7 PRO 6860Z,11822
AMD Ryzen 9 PRO 6950HS,11515
Intel Core i5-1340P,11075
Intel Xeon W-11955M,10800
AMD Ryzen 7 6800U,10711
Intel Core i9-10980HK,10600
Intel Core i7-11600H,10548
AMD Ryzen 7 5825U,10523
Intel Xeon W-11855M,10500
AMD Ryzen 7 PRO 6850U,10419
AMD Ryzen 7 7730U,10374
Intel Core i5-12450H,10370
AMD Ryzen 5 6600H,10305
AMD Ryzen 5 7535HS,10241
Intel Core i7-1365U,10223
Intel Core i7-1260P,9960
AMD Ryzen 5 6600U,9807
AMD Ryzen 5 6600HS,9767
AMD Ryzen 7 5800U,9666
Intel Core i5-1240P,9649
AMD Ryzen 7 5850U,9634
AMD Ryzen 5 5600H,9513
Intel Core i9-10885H,9400
Intel Core i7-1270P,9359
Apple M1 Pro (8-core),9167
Intel Core i5-11260H,9000
Intel Core i7-10870H,8989
Intel Core i7-1355U,8965
AMD Ryzen 7 5700U,8919
Intel Core i5-11500H,8853
Apple M2 (10-core GPU),8739
Intel Core i5-11400H,8649
AMD Ryzen 5 4600H,8648
Apple M2 (8-core GPU),8530
AMD Ryzen 5 7530U,8517
Intel Core i5-10500H,8200
Intel Core i5-1335U,8110
Intel Core i5-1245U,8093
Intel Core i7-1265U,8090
Intel Core i7-1255U,8018
AMD Ryzen 5 5625U,7983
Intel Core i5-1235U,7915
Apple M1,7735
AMD Ryzen 5 5600U,7500
Intel Core i5-1250P,7275
Intel Core i7-10750H,7213
AMD Ryzen 7 4700U,7138
AMD Ryzen 5 5500U,7135
AMD Ryzen 5 PRO 5675U,6897
Intel Core i7-1250U,6875
Intel Core i7-11370H,6570
Intel Core i7-11375H,6544
AMD Ryzen 3 7330U,6232
Intel Core i5-11300H,6055
Intel Core i5-11320H,6050
AMD Ryzen 3 5425U,5761
Intel Core i7-11390H,5660
Intel Core i7-1185G7,5524
Intel Core i7-1195G7,5481
AMD Ryzen 5 7520U,5310
AMD Ryzen 3 5300U,5296
Intel Core i3-1215U,5247
Intel Core i7-1165G7,5125
Intel Core i5-1135G7,5002
AMD Ryzen 3 7320U,4846
Intel Core i5-1145G7,4769
Intel Core i5-10300H,4666
Intel Core i7-1160G7,4235
Intel Core i7-1180G7,3697
Snapdragon 8cx Gen 3,3676
Intel Core i5-1035G1,3240
Intel Core i3-1115G4,3056
AMD Ryzen 5 3450U,2901
AMD Athlon Gold 7220U,2545
Intel Core i5-10210U,2204
Intel Core i3-1005G1,2015
AMD Ryzen 3 3250U,1839
Intel Pentium Silver N6000,1792
Intel Pentium Silver N5030,1456
Intel Celeron N4120,1259
Intel Celeron N4500,977
AMD 3020e,940
Intel Celeron N4020,842
Intel Celeron N5100,466
Intel Celeron N3350,173
AMD A4-9120e,166
