_id,Processor (CPU),Graphics card (GPU),Memory (RAM),Screen size,Screen resolution,Weight,Hard drives,Size (length x width x height),Operating system (OS),Release date,Amazon.com Lowest New Price,Name
6589cba38997406b55ed5eab,Intel Core i7-12700H,GeForce RTX 3070 Ti,64gb,17.3″,Full HD(1920 x 1080 pixels),6 lbs(2.72 kg),4000gb SSD,16 x 10 x 2 inches,Windows 11 Pro,"April 18, 2023","$4,679.00",Gigabyte AORUS 17 XE4
6589cba38997406b55ed5eac,Intel Core i5-1135G7,Intel Iris Xe,12gb,15.6″,Full HD(1920 x 1080 pixels),3.75 lbs(1.7 kg),250gb SSD,14.26 x 9.98 x 0.78 inches,Windows 11 Home,"February 25, 2022",$554.99,Lenovo IdeaPad 3 15″ (IdeaPad)
6589cba38997406b55ed5eaf,Intel Core i7-12700H,GeForce RTX 3070 Ti,64gb,16″,WQUXGA(3840 x 2400 pixels),5 lbs(2.27 kg),2000gb SSD,14.02 x 9.78 x 0.88 inches,Windows 11 Pro,"April 18, 2023","$2,364.00",Gigabyte AERO 16
6589cba38997406b55ed5eb0,Intel Core i5-10300H,GeForce GTX 1650,16gb,15.6″,Full HD(1920 x 1080 pixels),5.07 lbs(2.3 kg),500gb SSD,,Windows 11,"March 8, 2022",$829.00,ASUS TUF F15 144Hz
6589cba38997406b55ed5eb1,Intel Pentium Gold 7505,,20gb,15.6″,Full HD(1920 x 1080 pixels),3.74 lbs(1.7 kg),120gb SSD,14 x 9.8 x 0.78 inches,Windows 11 Home,"March 10, 2022",$479.00,Lenovo ideaPad 3i 15″ (82H801GGUS)
6589cba38997406b55ed5eb2,Intel Core i7-12650H,GeForce RTX 3050,16gb,15.6″,Full HD(1920 x 1080 pixels),4.1 lbs(1.86 kg),1000gb SSD,14.13 x 9.99 x 0.85 inches,Windows 11 Home,"November 18, 2023",$979.00,EXcaliberPC MSI 15″ (Thin)
6589cba38997406b55ed5eae,Intel Core i7-1255U,Intel Iris Xe,64gb,17.3″,Full HD(1920 x 1080 pixels),3.32 lbs(1.51 kg),2000gb SSD,15.71 x 10.2 x 0.78 inches,Windows 11 Pro,"December 18, 2022","$1,129.99",HP Envy 17″ (61D26UA)
6589cba38997406b55ed5ead,Intel Core i3-1115G4,Intel UHD Graphics,16gb,17.3″,Full HD(1920 x 1080 pixels),5.25 lbs(2.38 kg),500gb SSD,16.33 x 10.72 x 0.96 inches,Windows 11 Home,"April 22, 2023",$669.00,HP Windows 11 17″ (17)
6589cba38997406b55ed5eb6,Intel Core i7-1165G7,,32gb,17.3″,Full HD(1920 x 1080 pixels),,500gb SSD,,Windows 11 Pro,"March 12, 2022","$1,249.00",HP Envy 17″
6589cba38997406b55ed5eb5,Intel Core i7-10750H,GeForce RTX 2060,16gb,15.6″,Full HD(1920 x 1080 pixels),4.63 lbs(2.1 kg),1000gb SSD,14.29 x 10 x 0.78 inches,Windows 10 Home,"August 11, 2020","$1,495.00",Acer Predator Triton 300 15″ (NH.Q7BAA.001)
6589cba38997406b55ed5eb3,Intel Core i5-6300U,,8gb,14″,,5 lbs(2.27 kg),500gb SSD,,Windows 10 Pro,"April 17, 2020",$194.68,Dell Latitude E5470 14″ (NB-DL-LATITUDEE5470-NB-i5-2.4-8-512SSD)
6589cba38997406b55ed5eb4,AMD Ryzen 7 5700U,,16gb,14″,Quad HD(2560 x 1440 pixels),3.42 lbs(1.55 kg),1000gb SSD,12.32 x 8.85 x 0.7 inches,Windows 11 Pro,"August 5, 2023",$788.99,Lenovo Flex 5 14″ (Flex)
6589cba58997406b55ed5eb8,Intel Core i7-1260P,,32gb,16″,WUXGA(1920 x 1200 pixels),6.5 lbs(2.95 kg),1000gb SSD,14.3 x 10.1 x 0.98 inches,,"March 18, 2023","$2,159.00",Lenovo ThinkPad P16s G1 (21BT001MUS)
6589cba58997406b55ed5eb7,AMD Ryzen 5 5500U,,16gb,17.3″,Full HD(1920 x 1080 pixels),5.2 lbs(2.36 kg),1000gb SSD,16.33 x 10.72 x 0.96 inches,Windows 11,"September 5, 2021",$599.00,HP 17-BY30
6589cba58997406b55ed5eb9,AMD Ryzen 7 4800H,GeForce RTX 3060,64gb,15.6″,Full HD(1920 x 1080 pixels),5.07 lbs(2.3 kg),2000gb SSD,13.94 x 10.2 x 0.89 inches,Windows 11 Pro,"September 1, 2023","$1,559.00",ASUS ROG Strix G15 (G513IM)
6589cba58997406b55ed5eba,Intel Core i5-1235U,Intel Iris Xe,16gb,14″,WUXGA(1920 x 1200 pixels),2.87 lbs(1.3 kg),1000gb SSD,12.51 x 8.93 x 0.7 inches,Windows 11 Pro,"January 6, 2023","$1,099.99",Lenovo ThinkPad T14 (ThinkPad)
