Unnamed: 0,_id,Processor (CPU),Graphics card (GPU),Memory (RAM),Screen size,Screen resolution,Weight,Hard drives,Size (length x width x height),Operating system (OS),Release date,Price,Name,CPU Score,GPU Score,Game,Van Phong,Do Hoa,Lap Trinh,Doanh Nhan
0,6589cba38997406b55ed5eab,Intel Core i7-12700H,GeForce RTX 3070 Ti,64,17.3,Full HD(1920 x 1080 pixels),6 lbs(2.72 kg),4000gb SSD,16 x 10 x 2 inches,Windows 11 Pro,18-Apr-23,112296000,Gigabyte AORUS 17 XE4,15486,23757,1,0,1,0,0
1,6589cba38997406b55ed5eac,Intel Core i5-1135G7,Intel Iris Xe,12,15.6,Full HD(1920 x 1080 pixels),3.75 lbs(1.7 kg),250gb SSD,14.26 x 9.98 x 0.78 inches,Windows 11 Home,25-Feb-22,13319760,Lenovo IdeaPad 3 15″ (IdeaPad),5002,2690,0,0,0,0,0
2,6589cba38997406b55ed5eaf,Intel Core i7-12700H,GeForce RTX 3070 Ti,64,16,WQUXGA(3840 x 2400 pixels),5 lbs(2.27 kg),2000gb SSD,14.02 x 9.78 x 0.88 inches,Windows 11 Pro,18-Apr-23,56736000,Gigabyte AERO 16,15486,23757,1,0,1,0,0
3,6589cba38997406b55ed5eb0,Intel Core i5-10300H,GeForce GTX 1650,16,15.6,Full HD(1920 x 1080 pixels),5.07 lbs(2.3 kg),500gb SSD,0biet,Windows 11,8-Mar-22,19896000,ASUS TUF F15 144Hz,4666,7869,0,0,0,0,0
4,6589cba38997406b55ed5eb2,Intel Core i7-12650H,GeForce RTX 3050,16,15.6,Full HD(1920 x 1080 pixels),4.1 lbs(1.86 kg),1000gb SSD,14.13 x 9.99 x 0.85 inches,Windows 11 Home,18-Nov-23,23496000,EXcaliberPC MSI 15″ (Thin),13152,12960,0,0,0,0,0
5,6589cba38997406b55ed5eae,Intel Core i7-1255U,Intel Iris Xe,64,17.3,Full HD(1920 x 1080 pixels),3.32 lbs(1.51 kg),2000gb SSD,15.71 x 10.2 x 0.78 inches,Windows 11 Pro,18-Dec-22,27119760,HP Envy 17″ (61D26UA),8018,2690,0,0,0,0,0
6,6589cba38997406b55ed5eb5,Intel Core i7-10750H,GeForce RTX 2060,16,15.6,Full HD(1920 x 1080 pixels),4.63 lbs(2.1 kg),1000gb SSD,14.29 x 10 x 0.78 inches,Windows 10 Home,11-Aug-20,35880000,Acer Predator Triton 300 15″ (NH.Q7BAA.001),7213,14126,0,0,0,0,0
7,6589cba58997406b55ed5eb9,AMD Ryzen 7 4800H,GeForce RTX 3060,64,15.6,Full HD(1920 x 1080 pixels),5.07 lbs(2.3 kg),2000gb SSD,13.94 x 10.2 x 0.89 inches,Windows 11 Pro,1-Sep-23,37416000,ASUS ROG Strix G15 (G513IM),6238,17090,0,0,0,0,0
8,6589cba58997406b55ed5eba,Intel Core i5-1235U,Intel Iris Xe,16,14,WUXGA(1920 x 1200 pixels),2.87 lbs(1.3 kg),1000gb SSD,12.51 x 8.93 x 0.7 inches,Windows 11 Pro,6-Jan-23,26399760,Lenovo ThinkPad T14 (ThinkPad),7915,2690,0,1,0,1,0
9,6589cba58997406b55ed5ebc,AMD Ryzen 5 5600H,GeForce RTX 3050 4GB,16,15.6,Full HD(1920 x 1080 pixels),5.4 lbs(2.45 kg),500gb SSD,14.06 x 10.7 x 1.06 inches,Windows 10 Home,20-Aug-23,19176000,Dell G15 5000 5515 15 Ryzen Edition,9513,7041,0,0,0,0,0
10,6589cba58997406b55ed5ebe,Intel Core i5-1335U,Intel Iris Xe,8,14,Full HD Plus(2160 x 1440 pixels),3.09 lbs(1.4 kg),2000gb SSD,12.3 x 8.8 x 0.71 inches,Chrome OS,29-Apr-23,18696000,Acer Chromebook Spin 14″ (714),8110,2690,0,0,0,0,0
11,6589cba58997406b55ed5ec0,Intel Core i9-13980HX,GeForce RTX 4070,64,17,Quad HD Plus(3200 x 1800 pixels),6.83 lbs(3.1 kg),2x 2000gb SSD,14.97 x 11.73 x 1.13 inches,Windows 11 Pro,8-Sep-23,101976000,EXcaliberPC MSI 17″ (Raider),31343,26883,1,0,1,0,0
12,6589cba58997406b55ed5ec2,Intel Core i7-1185G7,Intel Iris Xe,16,13.5,2k(2256 x 1504 pixels),4 lbs(1.81 kg),250gb SSD,14 x 8 x 1 inches,Windows 10 Pro,12-Oct-22,19176000,Microsoft Surface Surface 4 13″ (Surface),5524,2690,0,0,0,0,0
13,6589cba68997406b55ed5ec3,AMD Ryzen 9 6900HS,Radeon RX 6700S,24,14,WQXGA(2560 x 1600 pixels),3.64 lbs(1.65 kg),1000gb SSD,12.76 x 8.74 x 0.7 inches,Windows 11 Pro,1-Mar-22,44856000,HIDevolution ASUS ROG Zephyrus G14 Advantage Edition GA402RJ (GA402RJ-G14.R96700-HID5P),14059,14902,0,0,0,0,0
14,6589cba68997406b55ed5ec5,Intel Core i5-1155G7,GeForce GTX 1650,32,15.6,Full HD(1920 x 1080 pixels),3.64 lbs(1.65 kg),4000gb SSD,14.4 x 9.2 x 0.63 inches,Windows 11,15-Sep-22,39096000,HIDevolution MSI Prestige 15 A11SC (MS-Prestige15048-HID10),6045,7869,0,0,0,0,0
15,6589cba68997406b55ed5ec6,Intel Core i7-12700H,GeForce RTX 3070 Ti,32,17.3,Full HD(1920 x 1080 pixels),6 lbs(2.72 kg),2x 500gb SSD,16 x 10 x 2 inches,Windows 10 Pro,22-Apr-23,88296000,Gigabyte AORUS 17 XE4,15486,23757,1,0,1,0,0
16,6589cba68997406b55ed5ec8,Intel Core i7-1165G7,Intel Iris Xe,32,17.3,HD Plus(1600 x 900 pixels),6 lbs(2.72 kg),2000gb SSD,16 x 10 x 0.8 inches,Windows 10 Pro,6-Nov-23,47016000,HP 17t-cn000,5125,2690,0,0,0,0,0
17,6589cba68997406b55ed5ec9,Intel Core i5-1135G7,Intel Iris Xe,16,14.1,Full HD(1920 x 1080 pixels),4 lbs(1.81 kg),500gb SSD,0biet,Windows 10 Home,25-Aug-23,9576000,Gateway GWTW 14″,5002,2690,0,0,0,0,0
18,6589cba68997406b55ed5ecc,Intel Core i7-13700H,Intel Iris Xe,16,14.5,WQXGA(2560 x 1600 pixels),3.44 lbs(1.56 kg),1000gb SSD,12.67 x 8.88 x 0.67 inches,Windows 11 Pro,9-Aug-23,21840000,ASUS Zenbook 14X (Q420V),17231,2690,0,0,0,0,0
19,6589cba68997406b55ed5ecd,Intel Core i5-9300H,GeForce GTX 1650,16,15.6,Full HD(1920 x 1080 pixels),5.29 lbs(2.4 kg),500gb SSD,14.29 x 10.02 x 0.94 inches,Windows 10 Home,27-Sep-19,20376000,Lenovo IdeaPad L340 15″ (IdeaPad L340),5736,7869,0,0,0,0,0
20,6589cba68997406b55ed5ed0,Intel Core i5-10500H,GeForce GTX 1650,16,15.6,Full HD(1920 x 1080 pixels),4.1 lbs(1.86 kg),500gb SSD,14.14 x 10 x 0.86 inches,Windows 10 Pro,28-Jul-23,18936000,MSI GF63 15″ (10SCXR),8200,7869,0,0,0,0,0
21,6589cba78997406b55ed5ed3,Intel Core i7-10750H,GeForce RTX 2070,32,15.6,Full HD(1920 x 1080 pixels),4.63 lbs(2.1 kg),2000gb SSD,14.29 x 10 x 0.78 inches,Windows 10 Home,7-Oct-21,43176000,Acer Predator 15″ (Triton),7213,16184,0,0,0,0,0
22,6589cba78997406b55ed5ed5,Intel Core i7-13620H,GeForce RTX 3050 6GB,40,15.6,Full HD(1920 x 1080 pixels),3.97 lbs(1.8 kg),2000gb SSD,14.03 x 9.26 x 0.79 inches,Windows 11 Home,16-Nov-23,32856000,ASUS Creator Q530 15″,14917,10708,0,0,0,0,0
23,6589cba78997406b55ed5ed6,AMD Ryzen 9 7940HS,GeForce RTX 4070,48,14,WQXGA(2560 x 1600 pixels),3.64 lbs(1.65 kg),1000gb SSD,12.28 x 8.94 x 0.77 inches,Windows 11 Pro,20-Aug-23,57816000,HIDevolution 2023 ASUS ROG Zephyrus G14 GA402XI (GA402XI-G14.R94070-HID9P),17509,26883,0,0,1,0,0
24,6589cba78997406b55ed5ed7,Intel Core i7-13620H,GeForce RTX 4070,32,15.6,Full HD(1920 x 1080 pixels),5.07 lbs(2.3 kg),1000gb SSD,14.13 x 10.2 x 1.06 inches,Windows 11 Pro,21-Jul-23,38376000,EXcaliberPC MSI 15″ (Pulse 15 B13VGK-1262US),14917,26883,1,0,0,0,0
25,6589cba78997406b55ed5ed8,Intel Core i7-12700H,GeForce RTX 3060,64,16,Quad HD(2560 x 1440 pixels),5.95 lbs(2.7 kg),4000gb SSD,14.06 x 10.71 x 1.06 inches,Windows 11 Pro,6-Dec-23,37176000,Dell G16,15486,17090,1,0,1,0,0
26,6589cba78997406b55ed5ed9,Intel Core i5-1240P,GeForce GTX 1650,16,14,Full HD(1920 x 1080 pixels),3.6 lbs(1.63 kg),8000gb SSD,12.56 x 8.62 x 0.63 inches,0biet,2-Jan-23,57096000,HIDevolution MSI Prestige 14 A12SC Carbon Gray (MS-PRE1412008-HID5),9649,7869,0,0,0,0,0
27,6589cba78997406b55ed5eda,Intel Core i5-12450H,GeForce GTX 1650,8,15.6,Full HD(1920 x 1080 pixels),5.1 lbs(2.31 kg),1000gb SSD,14.09 x 10.4 x 0.93 inches,Windows 11,14-Mar-23,17016000,HP Victus 15″,10370,7869,0,0,0,0,0
28,6589cba88997406b55ed5edf,Intel Core i7-1255U,Intel Iris Xe,24,14,Full HD(1920 x 1080 pixels),3.3 lbs(1.5 kg),500gb SSD,12.75 x 8.58 x 0.7 inches,Windows 11 Pro,27-Nov-23,26639760,Lenovo ThinkBook 14 G4,8018,2690,0,0,0,0,0
29,6589cba88997406b55ed5ee0,Intel Core i5-10500H,GeForce RTX 3060,8,15.6,Full HD(1920 x 1080 pixels),4.2 lbs(1.91 kg),500gb SSD,14.1 x 10 x 0.84 inches,0biet,19-Sep-21,19199760,MSI GF65 15″ (UE10),8200,17090,0,0,0,0,0
30,6589cba88997406b55ed5ee1,Intel Core i7-13650HX,GeForce RTX 4060,32,16,Full HD Plus(2160 x 1440 pixels),5.39 lbs(2.44 kg),1000gb SSD,13.94 x 10.2 x 0.89 inches,Windows 10 Pro,2-Sep-23,47256000,ASUS ROG Strix G16 (ROG Strix G16),19823,19573,1,0,1,0,0
31,6589cba88997406b55ed5ee2,AMD Ryzen 9 5900HX,GeForce RTX 3070,16,15.6,Full HD(1920 x 1080 pixels),5.5 lbs(2.49 kg),4000gb SSD,15 x 10 x 1 inches,Windows 11 Home,5-Jun-23,75816000,HP OMEN 15z-en100,13081,22459,1,0,0,0,0
32,6589cba88997406b55ed5ee3,Intel Core i7-13700H,GeForce RTX 4060,32,15.6,Full HD(1920 x 1080 pixels),5.5 lbs(2.49 kg),1000gb SSD,14.16 x 10.43 x 0.99 inches,Windows 11 Home,20-Aug-23,30599040,Lenovo LOQ 15″ (IdeaPad),17231,19573,1,0,1,0,0
33,6589cba88997406b55ed5ee4,Intel Core i5-1240P,GeForce RTX 4080,8,16,Quad HD(2560 x 1440 pixels),3.75 lbs(1.7 kg),500gb SSD,14 x 9.8 x 0.84 inches,Chrome OS,1-Jun-23,15119520,Acer Chromebook 516 GE,9649,34630,0,0,0,0,0
34,6589cba88997406b55ed5ee5,Intel Core i7-13620H,GeForce RTX 4050,16,15.6,Full HD(1920 x 1080 pixels),4.85 lbs(2.2 kg),1000gb SSD,14.13 x 10.2 x 0.98 inches,Windows 11,17-May-23,23436960,MSI Katana 15 (B13VEK-277US),14917,14693,0,0,0,0,0
35,6589cba98997406b55ed5ee9,Intel Core i9-12900H,GeForce RTX 3060,32,17.3,Full HD(1920 x 1080 pixels),6.39 lbs(2.9 kg),2000gb SSD,15.63 x 11.18 x 1.02 inches,0biet,31-Mar-23,37919760,MSI GE76 Raider 17″,16894,17090,1,0,1,0,0
36,6589cba98997406b55ed5eea,Intel Core i7-12800H,GeForce RTX 3060,16,17.3,Quad HD(2560 x 1440 pixels),6.06 lbs(2.75 kg),1000gb SSD,15.55 x 10.23 x 0.78 inches,Windows 11,27-Jun-22,43199760,Razer Blade 17 (RZ09-0423EED3-R3U1),15411,17090,1,0,1,0,0
37,6589cba98997406b55ed5eed,Intel Core i7-12700H,GeForce RTX 3070 Ti,64,15.6,Quad HD(2560 x 1440 pixels),5.3 lbs(2.4 kg),4000gb SSD,14.2 x 9.62 x 1.1 inches,Windows 11 Pro,4-Mar-23,110376000,Gigabyte AORUS 15 (XE4-73USB14SH-6591-226399),15486,23757,1,0,1,0,0
38,6589cba98997406b55ed5eee,Intel Core i5-10500H,GeForce RTX 3060,8,15.6,Full HD(1920 x 1080 pixels),0biet,500gb SSD,14.13 x 9.99 x 0.85 inches,Windows 11,17-Sep-21,22008000,MSI GF65 15″ (213),8200,17090,0,0,0,0,0
39,6589cba98997406b55ed5ef2,Intel Core i9-12950HX,RTX A3000 12GB,32,17.3,Full HD(1920 x 1080 pixels),10.71 lbs(4.86 kg),500gb SSD,15.67 x 10.44 x 1.06 inches,Windows 11 Pro,20-Oct-23,94800000,Dell Precision 7770 17″ (7770/cto),21007,14533,0,0,0,1,1
