Unnamed: 0,_id,Memory (RAM),Screen size,Weight,Hard drives,Size (length x width x height),Price,CPU Score,GPU Score,Game,Van Phong,Do Hoa,Lap Trinh,Doanh Nhan
1,6589cba38997406b55ed5eac,12,15.6,1.7,250,111.005544,13319760.0,5002,2690,0,0,0,0,1
4,6589cba38997406b55ed5eb2,16,15.6,1.86,1000,119.984895,23496000.0,13152,12960,0,0,0,1,0
5,6589cba38997406b55ed5eae,64,17.3,1.51,2000,124.98876,27119760.0,8018,2690,0,0,0,0,1
6,6589cba38997406b55ed5eb5,16,15.6,2.1,1000,111.462,35880000.0,7213,14126,0,0,0,1,0
8,6589cba58997406b55ed5eba,16,14.0,1.3,1000,78.20001,26399760.0,7915,2690,0,1,0,1,1
10,6589cba58997406b55ed5ebe,8,14.0,1.4,2000,76.8504,18696000.0,8110,2690,0,0,0,0,1
12,6589cba58997406b55ed5ec2,16,13.5,1.81,250,112.0,19176000.0,5524,2690,0,0,0,0,1
14,6589cba68997406b55ed5ec5,32,15.6,1.65,4000,83.4624,39096000.0,6045,7869,0,0,0,1,1
18,6589cba68997406b55ed5ecc,16,14.5,1.56,1000,75.381432,21840000.0,17231,2690,0,0,0,0,1
21,6589cba78997406b55ed5ed3,32,15.6,2.1,2000,111.462,43176000.0,7213,16184,0,0,0,1,0
26,6589cba78997406b55ed5ed9,16,14.0,1.63,8000,68.208336,57096000.0,9649,7869,0,0,0,1,0
39,6589cba98997406b55ed5ef2,32,17.3,4.86,500,173.410488,94800000.0,21007,14533,0,0,0,1,0
40,6589cba98997406b55ed5ef0,12,15.6,,250,96.791778,11433840.0,5002,2690,0,0,1,0,1
43,6589cbaa8997406b55ed5ef7,8,14.0,1.19,1000,69.818616,13896000.0,5247,2690,0,1,0,0,1
50,6589cbab8997406b55ed5f0c,64,14.0,1.59,2000,100.999938,57892799.0,4769,2690,0,0,0,1,1
59,6589cbad8997406b55ed5f25,32,15.6,2.25,1000,135.47844,47256000.0,15486,22459,0,0,1,0,0
66,6589cbae8997406b55ed5f31,16,15.6,1.15,1000,84.935964,38376000.0,9960,2690,0,1,0,1,1
70,6589cbaf8997406b55ed5f36,8,14.0,1.98,500,,9454800.0,5002,2690,0,0,0,0,1
72,6589cbaf8997406b55ed5f3a,32,15.6,2.25,2000,135.47844,39576000.0,15486,22459,0,0,1,0,0
76,6589cbb08997406b55ed5f3f,8,13.5,1.21,1000,69.04737,13656000.0,5002,2690,0,1,0,0,1
77,6589cbb08997406b55ed5f41,16,15.6,1.81,500,91.358928,26399760.0,5481,2690,0,0,0,0,1
84,6589cbb18997406b55ed5f50,8,14.0,1.2,1000,66.860955,15359760.0,5125,2690,0,1,0,0,1
88,6589cbb28997406b55ed5f58,16,16.0,2.02,500,106.165332,32376000.0,15486,2690,0,0,0,0,1
91,6589cbb28997406b55ed5f5f,16,16.0,1.19,2000,88.582428,40559760.0,5125,2690,0,1,0,1,1
92,6589cbb28997406b55ed5f60,8,17.3,2.27,1000,160.0,21599760.0,8110,2690,0,0,0,0,1
93,6589cbb28997406b55ed5f61,8,14.0,1.2,500,68.8086,15264000.0,5125,2690,0,1,0,0,1
95,6589cbb28997406b55ed5f63,16,15.6,2.0,500,,33599760.0,13152,22459,0,0,0,0,1
97,6589cbb38997406b55ed5f67,16,16.0,1.81,500,136.8,19655760.0,8110,2690,0,0,0,1,0
99,6589cbb38997406b55ed5f69,16,16.0,,500,,27576000.0,17272,19573,0,0,1,0,0
104,6589cbb48997406b55ed5f71,32,14.0,1.3,1000,81.0411,25438800.0,5524,2690,0,0,0,1,0
110,6589cbb58997406b55ed5f7c,64,16.0,2.1,2000,100.24956,45599760.0,9960,2690,0,0,1,0,0
132,6589cbb98997406b55ed5fad,8,13.3,1.3,1000,55.68,28776000.0,5002,2690,0,1,0,0,0
143,6589cbba8997406b55ed5fc1,16,14.0,1.3,1000,75.460638,23999760.0,5125,2690,0,1,0,1,0
145,6589cbba8997406b55ed5fc3,16,14.0,1.7,8000,85.3866,79536000.0,15486,17090,0,0,1,0,0
146,6589cbbb8997406b55ed5fc5,16,15.6,1.78,500,109.53852,16776000.0,5002,2690,0,0,1,0,0
156,6589cbbc8997406b55ed5fd6,32,13.3,1.26,1000,72.24,23999760.0,5524,2690,0,0,0,1,0
157,6589cbbc8997406b55ed5fd7,16,17.3,4.6,1000,161.5645,28776000.0,14003,19573,0,1,0,1,0
159,6589cbbc8997406b55ed5fdb,64,16.0,2.2,950,171.253602,112296000.0,34939,38875,0,0,1,0,0
165,6589cbbd8997406b55ed5fe6,64,15.6,2.25,2000,141.24348,33071760.0,15486,17090,0,0,1,0,0
166,6589cbbd8997406b55ed5fe7,32,15.6,1.73,1000,96.791778,29736000.0,8018,2690,0,0,1,0,0
170,6589cbbf8997406b55ed5ff5,16,15.6,2.2,1000,134.972656,28334639.0,15486,26883,0,0,1,0,0
191,6589cbc28997406b55ed601e,16,14.0,1.65,8000,84.533064,83256000.0,17509,26883,0,0,1,0,0
